TMW Order #,TMW Leg #,Doc Type,Carrier Invoice #,Carrier Amount,Carrier Invoice Date,Approved Date,Transflo
116312,116948,CI,17124,400,1/24/2024,1/24/2024,APPROVED
114005,114632,POD,,,,1/25/2024,COMPLETED
116236,116872,CI,116236,1100,1/25/2024,1/25/2024,APPROVED
113595,114226,POD,,,,1/25/2024,COMPLETED
114578,115211,CI,80389,4150,1/24/2024,1/24/2024,APPROVED
116074,116709,CI,OTR-13907815,525,1/24/2024,1/24/2024,APPROVED
115212,115846,CI,115212,3085,1/24/2024,1/24/2024,APPROVED
116159,116794,BL,,,,1/25/2024,COMPLETED
116340,116976,POD,,,,1/25/2024,COMPLETED
117477,118119,POD,,,,1/26/2024,COMPLETED
113976,114603,POD,,,,1/25/2024,COMPLETED
117477,118119,CI,117477,1900,1/25/2024,1/26/2024,APPROVED - AUTO
117132,117772,POD,,,,1/25/2024,COMPLETED
113934,114561,POD,,,,1/25/2024,COMPLETED
116108,116743,BL,,,,1/25/2024,COMPLETED
115556,116190,POD,,,,1/25/2024,COMPLETED
113594,114225,POD,,,,1/25/2024,COMPLETED
115627,116261,POD,,,,1/25/2024,COMPLETED
115747,116380,POD,,,,1/25/2024,COMPLETED
116108,116743,WGT,,,,1/25/2024,COMPLETED
117339,117981,BL,,,,1/25/2024,COMPLETED
113596,114227,POD,,,,1/25/2024,COMPLETED
113527,114158,BL,,,,1/25/2024,COMPLETED
113338,113969,POD,,,,1/25/2024,COMPLETED
113597,114228,POD,,,,1/25/2024,COMPLETED
116234,116870,POD,,,,1/25/2024,COMPLETED
113521,114152,BL,,,,1/25/2024,COMPLETED
116946,117585,WGT,,,,1/25/2024,COMPLETED
113896,114523,CI,LF1220,650,1/25/2024,1/25/2024,APPROVED
